C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_092.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_092.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_092.jpg, 0, 0, 0, 0.5528708
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_216.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_216.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_216.jpg, 0, 0, 0, 1.097821
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_313.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_313.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_313.jpg, 0, 0, 0, 1.554819
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_416.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_416.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_416.jpg, 0, 0, 0, 2.006941
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_519.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_519.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_519.jpg, 0, 0, 0, 2.454242
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_622.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_622.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_622.jpg, 0, 0, 0, 2.896773
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_728.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_728.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_728.jpg, 0, 0, 0, 3.421586
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_834.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_834.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_834.jpg, 0, 0, 0, 3.853803
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_15_934.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_15_934.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_15_934.jpg, 0, 0, 0, 4.281412
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_16_039.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_16_039.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_16_039.jpg, 0, 0.1091067, 0, 4.670675
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_16_143.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_16_143.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_16_143.jpg, 0, 0.3960097, 0, 4.679617
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_16_245.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_16_245.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_16_245.jpg, 0, 0.7446826, 0, 4.163146
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_16_352.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_16_352.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_16_352.jpg, 0, 1, 0, 3.276522
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_16_454.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_16_454.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_16_454.jpg, 0, 1, 0, 2.493457
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_16_555.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_16_555.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_16_555.jpg, 0, 1, 0, 1.708189
C:\Users\Administrator\Desktop\data\IMG\center_2019_04_26_14_00_16_660.jpg, C:\Users\Administrator\Desktop\data\IMG\left_2019_04_26_14_00_16_660.jpg, C:\Users\Administrator\Desktop\data\IMG\right_2019_04_26_14_00_16_660.jpg, 0, 1, 0, 0.9963848
